country,iso_code,start_year,end_year,population_start,co2_start,co2_end,gdp_per_capita_start,gdp_per_capita_end,energy_intensity_start,energy_intensity_end,carbon_intensity_start,carbon_intensity_end,co2_pct,gdp_per_capita_pct,energy_intensity_pct,carbon_intensity_pct,score_decarbonization,score_prosperity,score_efficiency,score_clean,kaya_score
Hungary,HUN,2000,2022,10190598.0,58.244407653808594,45.26734161376953,13164.242711762352,29468.830342136993,2.0931729851780524e-09,9.357421811944448e-10,0.2074213999497898,0.1695107681808187,-0.22280364008801956,1.2385511257557085,-0.5529551605048795,-0.1827710726962024,85.23363667400163,100.0,100.0,68.96729609945749,87.81191502706486
Czechia,CZE,2000,2022,10236809.0,127.23348999023438,95.0396728515625,17027.720864187268,32133.41223685532,2.7221905998381798e-09,1.308400259485563e-09,0.268140112714127,0.211793275465233,-0.2530294275598576,0.8871235025022268,-0.519357586657106,-0.21013952995897797,87.7524522966548,89.73850022747516,100.0,72.87707570842542,86.97962967297158
Romania,ROU,2000,2022,22046264.0,93.20626068115234,73.18602752685547,7159.457596624989,26334.19763949868,2.663037214176945e-09,7.135645109235291e-10,0.22174443254392,0.2032009688939359,-0.21479493982473707,2.6782392079412247,-0.7320486145950957,-0.08362538548205163,84.56624498539475,100.0,100.0,54.80362649743594,84.0707801199774
Slovakia,SVK,2000,2022,5380001.0,41.18703842163086,31.58946418762207,13865.257634152857,27472.1486181289,2.925757963001917e-09,1.1964109991044371e-09,0.1887173671851365,0.1756015373563791,-0.2330241406473226,0.9813658961849793,-0.5910765640104819,-0.06949985591888018,86.08534505394354,98.30599056227084,100.0,52.785693702697166,83.59852458242507
Estonia,EST,2000,2022,1397001.0,15.470973014831545,11.966226577758787,16840.167575399017,29627.48241269305,2.3589601416058195e-09,1.582663582727889e-09,0.2787750484396081,0.1890210529189133,-0.22653691100830342,0.7593341800217238,-0.3290842202825354,-0.32195849672729404,85.54474258402529,78.12128909288397,75.5834600403622,88.85121381818486,82.52324051104723
Angola,AGO,2000,2022,16194873.0,15.995107650756836,21.08900451660156,1451.8288668271744,4443.555847072717,1.3040230867934872e-09,6.164692940448524e-10,0.5216856768466807,0.2160413503403096,0.3184659320253901,2.0606609006085277,-0.5272558436363941,-0.5858783172921912,40.127838997884155,100.0,100.0,100.0,82.03835169936525
Poland,POL,2000,2022,38258077.0,317.30621337890625,314.8919677734375,12760.904893390223,32069.76159986937,2.084204271350913e-09,9.64132892921672e-10,0.3118413385733726,0.2653133492902885,-0.007608567067628822,1.5131259787447027,-0.5374095974303169,-0.14920404554425876,67.30071392230239,100.0,100.0,64.17200650632267,81.23321580327138
North Macedonia,MKD,2000,2022,2057254.0,8.467602729797363,7.352170944213867,7927.069037658937,15634.003673985291,1.891570137841878e-09,1.0682620415252484e-09,0.2744969157712439,0.2392181168181478,-0.1317293478658734,0.9722300385821296,-0.4352511597883199,-0.12852165880980687,77.64411232215612,97.47545805292089,90.75016568404571,61.21737982997241,81.1164763041793
Denmark,DNK,2000,2022,5339659.0,54.30657577514648,29.09432029724121,39016.28857367109,50725.73838388955,1.13529122115552e-09,6.486633384259333e-10,0.22960728452276,0.1497941957898076,-0.4642578751843107,0.30011695725769805,-0.4286370524686063,-0.34760695375516654,100.0,36.37426884160891,89.8052932098009,92.51527910788093,80.18344562933264
Latvia,LVA,2000,2022,2368320.0,7.081629753112793,6.607996940612793,11285.337613582624,27244.483046517944,1.423849130379243e-09,7.515015716984088e-10,0.1860862585460886,0.1715769528906103,-0.06688189428313596,1.4141486927008253,-0.4722042134490429,-0.07797086022815981,72.240157856928,100.0,96.02917334986329,53.995837175451406,79.37684132091391
Croatia,HRV,2000,2022,4326105.0,19.652681350708008,17.585163116455078,13268.007774892196,26179.635040520538,1.6820877981038502e-09,9.108632057076091e-10,0.2035496587627145,0.1887481905564262,-0.10520285742985627,0.9731398627955092,-0.458492471835068,-0.07271674291305462,75.43357145248802,97.5581693450463,94.07035311929545,53.24524898757923,79.14499664276187
Nigeria,NGA,2000,2022,126382490.0,96.83103942871094,131.44093322753906,2121.5997301445796,5083.773131756857,8.03203074166213e-10,4.6485341345807104e-10,0.4496130132958486,0.2492469161379329,0.35742561479275103,1.396198047880792,-0.4212504553214953,-0.44564123197669403,36.881198767270746,100.0,88.7500650459279,100.0,78.81437263936681
Ireland,IRL,2000,2022,3802589.0,45.249515533447266,36.6756706237793,38847.84050840099,60350.2965374857,1.1734772822330895e-09,6.045948702521393e-10,0.2610315353339923,0.1967034704962399,-0.1894792642217441,0.5535045384166136,-0.48478348971390844,-0.24643790550227598,82.456605351812,59.40950349241942,97.82621281627264,78.06255792889658,78.67023952412713
Sweden,SWE,2000,2022,8872099.0,54.892391204833984,36.34215545654297,34202.995584246746,47124.89122908728,2.1478919843542294e-09,1.2579171221971726e-09,0.0842188271241058,0.0584578921067151,-0.3379381976469159,0.3778001144084619,-0.4143480531795134,-0.305880952004106,94.82818313724297,43.4363740371329,87.76400759707334,86.55442171487229,78.49895539858886
Gabon,GAB,2000,2022,1275578.0,6.12818717956543,5.783253192901611,9829.293100853103,14824.762720559498,7.892522192211477e-10,4.6169758554212085e-10,0.6192797859750433,0.3476054344061586,-0.056286463934066513,0.5082226736399618,-0.4150189580743471,-0.43869404059610795,71.35720532783887,55.29297033090561,87.85985115347816,100.0,77.8023744117737
Uzbekistan,UZB,2000,2022,24787052.0,123.47847747802734,119.10547637939452,4715.197343919721,11264.57522376243,5.089282781264057e-09,1.5054963579906362e-09,0.207591674194977,0.2010144672178134,-0.035415087616471386,1.3889933765525584,-0.7041830012800534,-0.03168338519677851,69.61792396803926,100.0,100.0,47.383340742396925,77.731212376011
United Kingdom,GBR,2000,2022,59057333.0,569.03369140625,311.1180114746094,31995.438946100057,38358.12423322235,1.409909581724535e-09,7.685531902345944e-10,0.2135919180515055,0.1547894046081919,-0.4532520373165514,0.19886225964397472,-0.45489185959390654,-0.2753030825311189,100.0,27.169296331270427,93.55597994198668,82.18615464730271,76.05005873304063
Belarus,BLR,2000,2022,9991310.0,55.01446914672851,57.120548248291016,9149.862676165589,19161.582959237956,2.78934066989457e-09,1.7267315232725106e-09,0.2157438166669439,0.1881973092091821,0.0382822761762075,1.0941935018491398,-0.38095351998084315,-0.12768156178625004,63.47647698531604,100.0,82.99335999726331,61.0973659694643,75.91595658741355
Singapore,SGP,2000,2022,4035251.0,37.36872100830078,48.93388366699219,37706.09919928153,81736.33149418182,2.9116268629919907e-09,1.939427835967922e-09,0.0843510235145088,0.0546362747283443,0.30948778407809074,1.1677217540375873,-0.3339023414645365,-0.3522749048925697,40.87601799349243,100.0,76.27176306636237,93.1821292703671,75.81269032891198
Bulgaria,BGR,2000,2022,8000519.0,45.49931335449219,46.931793212890625,8464.421599398738,20274.385345030416,3.2099522179404163e-09,1.6575616273162847e-09,0.2093104094311728,0.2045937034388352,0.03148354893265675,1.3952475791695662,-0.4836179747311576,-0.022534502728057466,64.04303758894527,100.0,97.65971067587967,46.076357532579635,75.26394279500443
Hong Kong,HKG,2000,2022,6704665.0,39.76544570922851,30.7637996673584,32607.46757906622,47775.87052983339,9.032722878023079e-10,6.095179871150201e-10,0.2013691857426005,0.1415017836721636,-0.22636854387831157,0.4651818763290034,-0.3252112399041954,-0.2973017040798,85.53071198985928,51.38017057536394,75.03017712917078,85.32881486854286,74.84249538376864
Russia,RUS,2000,2022,146717784.0,1480.576416015625,1675.4608154296875,10544.444452125856,25631.56803601492,4.663104133054136e-09,2.31191117844908e-09,0.2052339723889683,0.1942167002384703,0.13162738329880694,1.4308125622348329,-0.5042119771546093,-0.05368152271407381,55.69771805843275,100.0,100.0,50.525931816296264,74.34079837160388
Greece,GRC,2000,2022,10782638.0,102.97276306152344,57.60904693603515,20730.631594235103,25343.88036175048,1.668906178943651e-09,1.1911442074545984e-09,0.2760278386158047,0.1832732222897943,-0.4405409234127737,0.2225329578862544,-0.28627251640440105,-0.33603355658308404,100.0,29.321177989659493,69.46750234348588,90.86193665472629,73.93927912979362
Finland,FIN,2000,2022,5176197.0,57.016998291015625,36.33700180053711,32689.97781614571,40607.409810209545,2.122275874738208e-09,1.41598351955528e-09,0.1587731605609098,0.113471028357301,-0.3626987935234244,0.24219753340283343,-0.33279950245396445,-0.2853261347419587,96.89156612695203,31.108866672984853,76.11421463628065,83.61801924885125,72.97203424580076
Cuba,CUB,2000,2022,11109112.0,25.299177169799805,23.25853729248047,4023.0138320686656,7609.071054579359,2.452166176193652e-09,1.1058699387878631e-09,0.2308477402564349,0.2499185941730151,-0.08066032597120563,0.8913857551085561,-0.5490232474764669,0.08261226163788969,73.38836049760046,90.12597773714145,100.0,31.055391194587184,72.3118503822123
Portugal,PRT,2000,2022,10283196.0,65.5036392211914,40.72249603271485,23218.110152038334,28387.32934564927,1.231500230839875e-09,8.879547429687024e-10,0.2227798722267896,0.1550862420737939,-0.37831704441330466,0.22263737917347784,-0.27896502109210075,-0.3038588247509348,98.19308703444203,29.330670833952528,68.42357444172869,86.26554639299069,72.04169530541415
Switzerland,CHE,2000,2022,7184003.0,43.62051010131836,32.9505615234375,43923.33450890819,63623.00908182043,1.1546240618060002e-09,5.318077123126976e-10,0.1197259600834974,0.110763689275211,-0.24460852367607636,0.4485013442892617,-0.5394105060647421,-0.07485653739620099,87.0507103063397,49.863758571751056,100.0,53.550933913743,71.96888621327543
Azerbaijan,AZE,2000,2022,8174784.0,29.765310287475582,41.17457580566406,4190.411281570253,17034.028419550774,3.854984993846944e-09,1.1990969006541882e-09,0.2254004536666554,0.1958024781657376,0.3833074612022164,3.0650015654710847,-0.6889490095115539,-0.13131284795322654,34.72437823314863,100.0,100.0,61.61612113617523,70.8213437539884
Germany,DEU,2000,2022,81797255.0,898.9757690429688,667.843017578125,33235.35069505694,46495.281015986126,1.4670187638033339e-09,8.838343254560061e-10,0.2254100741559131,0.1932723746589453,-0.25710676463605125,0.3989706756096098,-0.39753031981362474,-0.14257437080979166,88.09223038633759,45.360970509964524,85.36147425908926,63.22491011568453,70.64643412413139
Belgium,BEL,2000,2022,10251719.0,126.77570343017578,88.91497039794922,33721.84372016049,42062.03555365169,2.15022761436241e-09,1.41818158373702e-09,0.1705468054451995,0.1280360019356796,-0.2986434467159483,0.24732312689371255,-0.34045048335148365,-0.2492617988272995,91.55362055966233,31.57482971761023,77.2072119073548,78.4659712610428,70.41772879403291
